
2021-05-11 04:20:01.705616 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 04:30:01.839941 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 04:30:01.843364 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 04:40:01.980802 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 04:40:01.983387 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 04:50:02.129869 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 04:50:02.132864 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 05:00:01.266434 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 05:00:01.269353 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 05:10:01.403356 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 05:10:01.613984 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 05:20:01.770057 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 05:20:01.772663 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 05:30:01.908770 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 05:30:01.911404 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 05:40:02.057140 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 05:40:02.059786 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 05:50:01.189953 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 05:50:01.192395 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 06:00:01.332776 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 06:00:01.335493 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 06:10:01.481435 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 06:10:01.484111 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 06:20:01.626521 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 06:20:01.629095 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 06:30:02.003522 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 06:30:02.006514 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 06:40:01.162982 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 06:40:01.165993 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 06:50:01.295878 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 06:50:01.298295 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 07:00:01.431423 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 07:00:01.434371 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 07:10:01.608067 - Cantidad de registros ingresados: 3, tipo: FT
2021-05-11 07:10:01.610871 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 07:20:01.843853 - Cantidad de registros ingresados: 3, tipo: FT
2021-05-11 07:20:01.847289 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 07:30:02.023200 - Cantidad de registros ingresados: 4, tipo: FT
2021-05-11 07:30:02.045093 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 07:40:01.271410 - Cantidad de registros ingresados: 7, tipo: FT
2021-05-11 07:40:01.298716 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 07:50:01.465059 - Cantidad de registros ingresados: 5, tipo: FT
2021-05-11 07:50:01.489691 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 08:00:01.646404 - Cantidad de registros ingresados: 4, tipo: FT
2021-05-11 08:00:01.649359 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 08:10:01.903725 - Cantidad de registros ingresados: 12, tipo: FT
2021-05-11 08:10:01.931339 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 08:20:02.100514 - Cantidad de registros ingresados: 5, tipo: FT
2021-05-11 08:20:02.110477 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 08:30:01.252781 - Cantidad de registros ingresados: 2, tipo: FT
2021-05-11 08:30:01.276526 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 08:40:01.423203 - Cantidad de registros ingresados: 1, tipo: FT
2021-05-11 08:40:01.443513 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 08:50:01.647005 - Cantidad de registros ingresados: 12, tipo: FT
2021-05-11 08:50:01.658758 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 09:00:01.834357 - Cantidad de registros ingresados: 4, tipo: FT
2021-05-11 09:00:01.867940 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 09:10:02.023805 - Cantidad de registros ingresados: 5, tipo: FT
2021-05-11 09:10:02.044857 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 09:20:01.181651 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 09:20:01.197303 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 09:30:01.358015 - Cantidad de registros ingresados: 6, tipo: FT
2021-05-11 09:30:01.376176 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 09:40:01.526899 - Cantidad de registros ingresados: 3, tipo: FT
2021-05-11 09:40:01.556496 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 09:50:01.725794 - Cantidad de registros ingresados: 5, tipo: FT
2021-05-11 09:50:01.743987 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 10:00:01.888647 - Cantidad de registros ingresados: 2, tipo: FT
2021-05-11 10:00:01.910521 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 10:10:02.060660 - Cantidad de registros ingresados: 1, tipo: FT
2021-05-11 10:10:02.187191 - Cantidad de registros ingresados: 2, tipo: NC
2021-05-11 10:20:01.387166 - Cantidad de registros ingresados: 11, tipo: FT
2021-05-11 10:20:01.414916 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 10:30:01.574319 - Cantidad de registros ingresados: 7, tipo: FT
2021-05-11 10:30:01.585241 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 10:40:01.800949 - Cantidad de registros ingresados: 4, tipo: FT
2021-05-11 10:40:01.817155 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 10:50:01.992653 - Cantidad de registros ingresados: 5, tipo: FT
2021-05-11 10:50:01.995626 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 11:00:01.193938 - Cantidad de registros ingresados: 7, tipo: FT
2021-05-11 11:00:01.196720 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 11:10:01.402029 - Cantidad de registros ingresados: 5, tipo: FT
2021-05-11 11:10:01.404601 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 11:20:01.587115 - Cantidad de registros ingresados: 11, tipo: FT
2021-05-11 11:20:01.589766 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 11:30:01.745220 - Cantidad de registros ingresados: 2, tipo: FT
2021-05-11 11:30:01.766096 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 11:40:01.979520 - Cantidad de registros ingresados: 12, tipo: FT
2021-05-11 11:40:01.999113 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 11:50:01.171312 - Cantidad de registros ingresados: 12, tipo: FT
2021-05-11 11:50:01.232011 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 12:00:01.386046 - Cantidad de registros ingresados: 6, tipo: FT
2021-05-11 12:00:01.403173 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 12:10:01.727497 - Cantidad de registros ingresados: 8, tipo: FT
2021-05-11 12:10:01.747615 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 12:20:01.923525 - Cantidad de registros ingresados: 9, tipo: FT
2021-05-11 12:20:01.937640 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 12:30:02.091023 - Cantidad de registros ingresados: 6, tipo: FT
2021-05-11 12:30:02.104942 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 12:40:01.264102 - Cantidad de registros ingresados: 5, tipo: FT
2021-05-11 12:40:01.278485 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 12:50:01.424453 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-11 12:50:01.443048 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 13:00:01.585851 - Cantidad de registros ingresados: 1, tipo: FT
2021-05-11 13:00:01.604265 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-11 13:10:01.787795 - Cantidad de registros ingresados: 0, tipo: FT
